room_type,bedrooms,bathrooms,price,host_is_superhost,host_listings_count,availability_30,review_scores_rating,review_scores_location,calculated_host_listings_count_private_rooms
Private room,1.0,2.0,98.0,t,4,9,4.78,4.3,4
Private room,1.0,2.0,95.0,t,4,21,4.77,4.48,4
Private room,1.0,2.0,88.0,t,4,14,4.75,4.41,4
Private room,1.0,2.0,94.0,t,4,0,4.76,4.46,4
Private room,1.0,1.0,94.0,t,1,26,4.84,4.85,1
Private room,1.0,1.0,111.0,t,3,8,4.96,4.97,3
Entire home/apt,2.0,1.0,243.0,t,1,6,4.89,4.88,0
Entire home/apt,1.0,1.0,111.0,f,1,30,4.38,4.75,0
Entire home/apt,1.0,1.0,170.0,f,4,0,4.72,4.91,1
Entire home/apt,1.0,1.0,130.0,f,4,0,4.51,4.88,1
Entire home/apt,4.0,3.5,417.0,t,2,0,4.89,4.8,1
Entire home/apt,2.0,1.0,500.0,t,3,12,4.45,4.98,1
Private room,1.0,1.0,219.0,f,9,0,5.0,5.0,5
Private room,1.0,1.5,570.0,t,2,10,4.98,4.94,1
Entire home/apt,0.0,1.0,149.0,f,1,0,4.96,5.0,0
Entire home/apt,0.0,1.0,210.0,t,17,0,4.88,4.96,0
Private room,2.0,1.0,165.0,t,1,5,4.93,4.95,1
Private room,1.0,1.0,52.0,f,1,0,4.84,4.78,1
Entire home/apt,4.0,2.0,385.0,f,5,0,4.4,4.74,0
Entire home/apt,1.0,1.0,113.0,f,1,0,4.89,4.83,0
Private room,1.0,1.0,70.0,t,1,0,4.72,4.57,1
Entire home/apt,1.0,1.0,128.0,f,1,0,4.64,4.72,0
Private room,1.0,1.0,219.0,f,9,0,4.89,4.89,5
Private room,1.0,1.0,95.0,t,2,8,4.81,4.93,1
Entire home/apt,1.0,1.0,306.0,t,1,10,4.88,4.9,0
Entire home/apt,4.0,2.0,225.0,f,2,0,4.64,4.64,0
Entire home/apt,1.0,1.0,181.0,t,1,0,4.91,4.82,0
Entire home/apt,1.0,1.0,73.0,t,4,8,4.81,4.93,0
Entire home/apt,2.0,1.5,399.0,f,1,30,4.88,4.77,0
Entire home/apt,2.0,1.0,235.0,t,2,7,4.51,4.89,1
Entire home/apt,1.0,1.0,185.0,f,1,0,4.86,4.77,0
Entire home/apt,0.0,1.0,100.0,f,5,13,4.24,4.61,0
Private room,1.0,1.0,101.0,t,3,23,4.93,4.95,3
Entire home/apt,2.0,1.0,290.0,t,1,10,4.91,4.65,0
Entire home/apt,1.0,1.0,154.0,t,7,0,4.96,4.96,3
Entire home/apt,3.0,2.5,260.0,t,5,0,5.0,5.0,0
Entire home/apt,1.0,1.0,177.0,t,1,4,4.93,4.91,0
Private room,1.0,1.5,124.0,t,6,1,4.83,4.86,4
Entire home/apt,3.0,2.0,735.0,f,1,23,4.97,4.97,0
Entire home/apt,1.0,1.0,205.0,t,1,6,4.86,4.91,0
Entire home/apt,1.0,1.0,99.0,t,1,0,4.67,4.71,0
Entire home/apt,4.0,3.5,516.0,t,2,10,4.91,4.96,0
Entire home/apt,1.0,1.0,170.0,t,1,15,4.89,4.94,0
Private room,1.0,1.0,104.0,t,2,20,4.78,4.73,1
Entire home/apt,1.0,1.0,180.0,f,1,30,4.69,4.98,0
Entire home/apt,2.0,1.0,158.0,f,1,6,4.83,4.86,0
Entire home/apt,1.0,1.0,108.0,f,3,0,5.0,5.0,2
Private room,1.0,1.5,189.0,f,2,0,4.94,4.74,1
Entire home/apt,1.0,1.0,140.0,f,1,7,4.59,4.86,0
Entire home/apt,3.0,2.0,302.0,f,1,30,5.0,4.68,0
Entire home/apt,2.0,1.5,377.0,t,2,4,4.94,4.95,1
Entire home/apt,2.0,1.0,250.0,f,1,16,4.6,4.4,0
Private room,1.0,1.0,180.0,f,3,0,4.9,4.94,2
Entire home/apt,0.0,1.0,73.0,f,3,0,4.53,4.77,0
Private room,1.0,0.5,91.0,t,1,20,4.87,4.81,1
Entire home/apt,0.0,1.0,95.0,f,23,0,4.25,5.0,0
Private room,1.0,1.0,138.0,t,3,14,4.92,4.86,1
Entire home/apt,3.0,2.0,758.0,t,6,0,4.78,4.54,0
Private room,1.0,1.0,122.0,t,1,11,4.99,4.97,1
Private room,1.0,1.0,350.0,f,2,28,4.86,4.84,1
Entire home/apt,0.0,1.0,135.0,t,1,8,4.88,4.86,0
Entire home/apt,4.0,2.0,188.0,f,3,0,4.69,4.55,0
Entire home/apt,1.0,1.0,119.0,f,1,0,4.79,4.58,0
Private room,1.0,1.0,153.0,t,3,12,4.94,4.92,2
Entire home/apt,3.0,1.5,255.0,t,2,10,4.91,4.84,0
Entire home/apt,3.0,2.0,375.0,f,1,0,5.0,5.0,0
Entire home/apt,3.0,2.0,900.0,f,1,24,4.93,5.0,0
Entire home/apt,3.0,2.0,546.0,f,1,24,4.9,4.63,0
Entire home/apt,1.0,1.0,169.0,t,2,10,4.87,4.84,0
Entire home/apt,1.0,1.0,120.0,t,8,0,4.86,4.92,0
Entire home/apt,2.0,1.0,229.0,t,1,0,4.82,4.83,0
Private room,1.0,1.0,128.0,t,3,14,4.88,4.94,3
Private room,1.0,1.5,112.0,t,1,11,4.92,4.68,1
Entire home/apt,1.0,1.0,101.0,t,1,11,4.87,4.88,0
Private room,1.0,1.0,158.0,f,1,5,4.99,4.97,1
Entire home/apt,2.0,1.0,450.0,f,3,0,4.45,4.74,0
Private room,1.0,1.0,100.0,t,2,5,4.92,4.86,2
Entire home/apt,1.0,1.0,130.0,t,1,7,4.96,4.83,0
Entire home/apt,2.0,1.0,184.0,f,23,0,4.25,5.0,0
Private room,1.0,1.0,169.0,t,2,8,4.9,4.89,2
Entire home/apt,3.0,1.0,131.0,f,7,2,4.78,4.7,0
Entire home/apt,3.0,3.5,864.0,f,1,0,4.85,4.95,0
