bedrooms,bathrooms,price,host_listings_count,availability_30,review_scores_rating,review_scores_location,calculated_host_listings_count_private_rooms,room_type_Hotel room,room_type_Private room,room_type_Shared room,host_is_superhost_t
1.0,1.0,197.0,3,10,4.91,4.93,0,False,False,False,True
1.0,1.0,165.0,1,0,4.91,4.73,0,False,False,False,True
0.0,1.0,168.0,1,25,4.94,4.93,0,False,False,False,True
1.0,1.5,56.0,12,7,5.0,5.0,12,False,True,False,True
1.0,1.0,197.0,1,14,4.82,4.89,0,False,False,False,False
0.0,1.0,200.0,1,29,4.96,4.96,0,False,False,False,False
1.0,1.0,103.0,3,5,4.97,4.93,1,False,True,False,True
4.0,2.0,432.0,3,19,4.75,4.95,2,False,False,False,True
1.0,3.0,60.0,5,7,4.74,4.79,5,False,True,False,True
1.0,1.0,178.0,2,0,4.63,4.03,0,False,False,False,False
1.0,1.0,150.0,1,0,4.97,4.97,0,False,False,False,True
1.0,1.0,177.0,1,6,4.91,4.91,0,False,False,False,True
1.0,1.0,109.0,4,0,4.76,4.84,0,False,False,False,True
1.0,1.0,239.0,1,4,4.98,4.91,0,False,False,False,True
2.0,2.0,145.0,1,0,4.81,4.75,0,False,False,False,True
4.0,3.5,896.0,1,7,4.91,4.96,0,False,False,False,False
2.0,1.0,85.0,1,0,4.8,4.05,0,False,False,False,True
2.0,1.0,170.0,4,0,4.75,5.0,0,False,False,False,False
1.0,1.5,93.0,1,1,4.81,4.91,1,False,True,False,False
3.0,2.5,564.0,1,21,4.82,4.84,0,False,False,False,True
0.0,1.0,87.0,1,0,4.72,4.67,0,False,False,False,True
1.0,1.0,128.0,1,20,4.83,4.74,0,False,False,False,True
1.0,1.0,114.0,2,0,4.71,4.79,1,False,True,False,True
1.0,1.0,150.0,6,17,4.47,4.5,0,False,False,False,True
0.0,1.0,151.0,1,0,5.0,5.0,0,False,False,False,True
1.0,1.0,104.0,1,8,4.84,4.88,1,False,True,False,True
3.0,2.0,300.0,6,2,4.44,4.56,0,False,False,False,True
4.0,2.5,560.0,2,0,5.0,4.88,0,False,False,False,True
3.0,1.0,585.0,1,15,4.97,4.92,0,False,False,False,True
1.0,1.0,114.0,1,19,4.9,4.81,1,False,True,False,True
1.0,1.0,114.0,2,2,4.52,4.79,0,False,False,False,True
1.0,1.0,100.0,1,0,4.8,4.82,1,False,True,False,False
1.0,1.0,66.0,3,10,4.93,4.89,3,False,True,False,True
1.0,1.0,227.0,1,30,4.62,4.92,0,False,False,False,True
0.0,1.0,120.0,4,1,4.88,4.43,0,False,False,False,True
1.0,1.0,140.0,1,23,4.87,4.91,0,False,False,False,False
1.0,1.5,124.0,6,0,4.82,4.86,4,False,True,False,True
1.0,1.0,121.0,3,13,4.88,4.9,0,False,False,False,True
3.0,2.0,392.0,1,11,4.88,4.95,0,False,False,False,False
1.0,2.0,155.0,1,21,4.91,4.91,1,False,True,False,True
2.0,1.0,198.0,1,21,4.61,4.76,1,False,True,False,True
1.0,1.0,111.0,1,1,4.76,4.81,0,False,False,False,True
3.0,2.0,473.0,2,0,4.86,4.98,0,False,False,False,False
